userid,timestamp
29970410,14922
6502736,15808
4787424,15742
30633218,16091
5320098,14413
19794221,15486
5637731,14319
48479495,15481
16508166,14648
7748805,15967
46925367,15516
27457147,15608
16508166,15295
47182677,16067
5320098,13715
39428062,16070
49591778,15929
5320098,14851
28447182,15063
39428062,16138
30633218,16162
28447182,14940
27457147,14991
27457147,15392
16370959,15647
47391657,15578
3478587,15856
6747065,14543
41723933,15453
5320098,16016
30633218,15935
11998404,14660
2949370,14312
28447182,14932
2873889,14566
11998404,15237
5320098,14475
5637731,14552
23638150,14800
41723933,15435
5637731,14437
11998404,14282
4787424,15956
15677557,15877
16508166,15180
6747065,14442
5320098,14358
15020189,16250
4938859,15548
14520887,15120
16508166,14661
16370959,14596
23638150,15516
3478587,15857
5320098,13713
39898792,16176
11998404,14132
28447182,14948
5320098,13624
5637731,14864
11998404,14739
5637731,14969
40563365,15869
3304912,13208
29970410,14855
4787424,15733
48479495,15438
2873889,15136
23638150,15122
4787424,15557
5320098,14478
49396730,16091
16508166,14649
47391657,15971
6747065,14441
48479495,15419
23638150,15212
5637731,15068
4787424,15831
4938859,15118
23638150,14596
30633218,16124
5320098,13644
23638150,14569
4526305,15522
16508166,15123
40563365,15870
23265125,14566
24856261,15848
11998404,14641
3423731,13454
20131065,15929
23638150,14637
5320098,13595
11998404,14498
23238082,16119
3478587,16159
11998404,14180
4938859,15081
3478587,16020
45307368,15471
39428062,16160
4938859,15039
45307368,15994
30633218,16104
16370959,15654
30633218,15998
5637731,14489
5320098,16017
16370959,15595
15020189,15965
28447182,14926
27457147,15478
48479495,16165
5637731,14607
5320098,13717
4787424,15682
39898792,15663
15677557,15994
2873889,15172
5637731,14305
4938859,15714
16508166,16001
6747065,14617
15677557,16097
5320098,14418
4787424,15886
39898792,15771
5320098,14156
11998404,14207
5320098,14491
29416682,15432
27457147,14690
23638150,14683
23853724,15469
45845722,15516
20131065,16078
41723933,15797
16370959,14331
4787424,15792
27457147,15835
39428062,16097
6747065,14246
16508166,15462
45307368,15470
47391657,15586
4787424,15791
11998404,14822
15020189,16171
30633218,16062
4938859,15674
42554670,15501
5320098,14383
24181301,15435
5320098,14637
46925367,15544
6747065,14501
5320098,14174
2873889,14069
23638150,15177
27457147,15648
13725104,15414
16508166,15487
39428062,16071
40787146,15610
6747065,14509
39428062,16066
29970410,14955
33986489,16200
48479495,15447
5320098,13662
27457147,15209
3423731,13480
16370959,14598
6747065,14618
5320098,13622
5485650,15320
3973347,14507
28447182,14927
11998404,15254
6502736,15950
16508166,15732
16508166,15522
16508166,14647
30633218,15981
3478587,15206
11998404,14139
30633218,16066
14520887,15077
4787424,15842
23638150,14830
5320098,14155
41336915,15224
33986489,16074
28447182,14983
5320098,14606
29970410,15676
47391657,16098
27457147,15646
5320098,13520
11998404,14117
29416682,15384
4938859,15042
23638150,14650
11998404,15003
5637731,14394
4787424,15531
11600787,15581
23638150,14768
40563365,15880
4938859,15686
5320098,14473
19794221,15239
40787146,15568
39167800,15882
10807443,15727
35364845,14962
4787424,15592
27457147,15533
40787146,15557
23638150,14588
28447182,15134
40563365,15273
23439531,14837
16508166,15378
16508166,15191
30633218,16105
23638150,14812
16370959,14454
2949370,13445
11998404,14644
5320098,14315
6747065,14629
6747065,14627
4787424,15701
2948640,13888
24856261,16040
16370959,15596
23638150,14840
5320098,14607
30633218,16069
20131065,15879
4787424,15512
28447182,15064
5637731,14784
3478587,15215
20131065,15462
23638150,14833
27457147,15310
28447182,15097
3478587,15245
16370959,15127
4938859,15241
3304912,13219
5320098,15834
11998404,14133
47182677,15974
11998404,14454
2873889,14008
18566688,15305
6747065,14090
6747065,14089
5320098,15858
3478587,15641
5320098,14431
5320098,15841
11998404,14120
4938859,15617
27457147,15471
45307368,15995
14520887,15338
16370959,14385
4938859,15359
11998404,14939
39428062,16137
11998404,14784
2873889,15253
3002379,15003
10807443,15475
4787424,15716
23638150,14719
23638150,15297
6452020,15284
11998404,15484
4787424,15634
15677557,15264
23638150,15510
9321010,13977
5637731,14483
5320098,14362
39428062,16073
3478587,15560
5637731,14508
5320098,14492
40787146,15583
2948640,14477
5637731,14617
5320098,13793
30633218,15967
5320098,13565
4787424,16079
49358414,15673
47925288,15499
11998404,14578
24856261,15900
23638150,14733
27457147,15703
23638150,14837
28447182,15103
33986489,15753
24856261,15886
14525857,16012
6747065,14444
4787424,15765
19794221,15380
5320098,13564
16225683,14939
27457147,15426
16508166,14881
48479495,15448
11998404,14344
6502736,15786
16508166,15379
49857491,15593
16225683,16039
7416673,16073
29970410,14871
15677557,15273
2873889,15074
16508166,15387
30633218,15958
5637731,15326
5320098,14246
16370959,14423
27457147,15467
33986489,15637
3478587,15981
5320098,14433
6937126,15453
27457147,15860
5320098,14432
9653222,16092
18566688,15279
7416673,16072
4938859,15675
28447182,15067
46925367,15579
19794221,15557
10807443,15632
4787424,15532
29416682,15615
5637731,14511
8270884,14250
19114015,15392
39898792,15483
4787424,15692
16508166,15296
15677557,15265
27457147,15097
24856261,16089
5320098,14361
39428062,16094
3860200,13366
9653222,16111
5320098,14048
3423731,15028
4787424,15887
8270884,14218
23638150,15399
16370959,14519
5320098,14836
11998404,14891
48479495,16147
5637731,14589
5320098,13663
5320098,14134
19794221,15243
4787424,15641
47391657,16138
27457147,15496
45845722,15555
2873889,14153
11998404,15117
6747065,14620
27457147,14985
39898792,16112
5320098,13585
42964489,15487
30633218,16003
4938859,15579
4787424,15560
7748805,16203
