14532	1	1	1
14533	1	0	0
14538	0	0	0
14546	1	0	0
14547	1	1	1
14548	1	0	0
14549	0	0	0
14550	0	0	1
14552	0	1	0
14553	1	0	0
14554	1	1	1
14555	1	1	1
14556	0	1	0
14557	0	1	0
14558	0	0	0
14563	0	1	1
14565	0	0	0
14567	1	0	1
14568	0	0	0
14571	0	0	0
14573	0	0	0
14574	1	1	1
14576	1	1	1
14577	0	0	0
14578	1	0	1
14586	1	0	1
14587	0	1	1
14589	1	0	0
14590	1	1	1
14591	1	0	1
14595	1	1	1
14596	1	1	1
14599	1	0	1
14600	0	0	0
14601	0	0	0
14602	1	1	1
14603	1	1	1
14605	1	0	0
14607	1	1	1
14608	0	0	0
14609	1	1	1
14616	0	0	0
14617	1	0	1
14618	1	0	1
14623	0	0	0
14628	1	1	1
14630	0	0	0
14631	0	1	0
14632	0	0	1
14633	1	0	0
14637	0	0	0
14646	0	0	0
14652	1	1	1
14655	0	1	0
14658	1	1	1
14660	0	1	1
14666	0	0	0
14667	0	0	0
14671	1	1	1
14673	0	1	0
14677	1	0	0
14687	1	1	1
14689	0	1	1
14690	0	1	1
14691	1	1	1
14694	0	1	1
14695	1	1	1
14696	0	1	1
14697	1	0	1
14698	1	0	1
14708	0	1	0
14712	1	1	1
14714	1	1	1
14718	1	1	1
14719	0	1	1
14725	1	1	1
14727	1	0	1
14729	0	1	0
14744	1	1	1
14758	0	1	0
14759	1	0	1
14772	1	0	0
14773	1	0	0
14779	0	1	1
14790	0	0	0
14791	0	0	0
14800	0	0	0
14801	1	1	1
14802	0	0	0
14803	1	0	1
14804	0	0	0
14805	0	0	0
14811	1	1	1
14812	0	1	0
14835	1	1	1
14836	0	0	1
14837	1	1	1
14838	0	1	1
14840	0	1	0
14877	1	0	1
14878	1	0	0
14881	0	0	0
14882	0	1	1
14884	1	0	0
14886	0	0	0
14891	0	0	0
14892	0	0	0
14893	0	1	1
14896	1	0	0
14897	1	1	0
14898	1	1	1
14907	1	1	1
14908	0	0	0
14913	1	0	0
14915	0	0	0
14918	1	1	1
14921	0	0	0
14924	1	0	0
14927	1	1	0
14940	0	0	0
14944	1	0	0
14946	0	1	0
14951	0	0	0
14953	0	0	0
14954	0	0	0
14958	0	0	0
14960	0	0	0
14961	0	0	0
14965	0	0	0
14966	1	0	0
14967	1	0	0
14970	0	1	1
14974	1	1	1
14975	1	0	0
14976	0	1	0
14981	0	0	0
14986	0	1	0
14987	1	1	1
14990	0	0	0
14991	1	1	1
14994	1	0	0
14997	0	0	0
15002	0	0	0
15005	1	0	1
15006	0	1	0
15009	0	0	0
15014	1	0	1
15015	1	0	1
15017	1	1	0
15021	0	1	0
15027	1	0	0
15028	1	0	0
15030	0	0	0
15032	1	1	1
15033	1	1	1
15038	0	0	0
15039	0	1	1
15042	0	1	0
15043	0	1	1
15044	0	1	1
15045	1	1	1
15048	1	1	1
15049	1	1	1
15054	1	1	1
15055	1	1	1
15057	1	1	1
